hanzi,pinyin,components,tu_hinh,y_nghia,radical,ghi_chu,,A968
迟,,,"Chữ 遲 là chữ có nghĩa là 'chậm', 'muộn'. Chữ 遲 là hình ảnh kết hợp giữa chữ 辶 (sước - đi chậm) và chữ 犀 (tê - tê giác). Tuy nhiên, chữ 遲 là do chữ 遟 (trì - chậm) có nghĩa là 'chậm' bị chuyển nhầm, nên nghĩa 'chậm' nên được giải thích là sự kết hợp giữa chữ 辶 và chữ 屖 (thê - nghỉ ngơi). Nhìn vào chữ 遟 trong kim văn, ta thấy chữ 辛 (tân - cay) được vẽ bên cạnh người đang đi trên đường. Trong Hán tự, chữ 辛 truyền đạt nghĩa liên quan đến nô lệ. Điều này biểu hiện nghĩa 'chậm chạp' trong cử động của người hầu hoặc nô lệ. Có vẻ đây là chữ phản ánh nhận thức coi thường người hầu trong thời cổ đại. Vì vậy, ban đầu chữ 遟 được dùng với nghĩa 'chậm', nhưng trong tiểu triện, chữ 遲, vốn là một trong các dị thể tự, đã thay thế nghĩa đó.",,,,,
婚,,,"Chữ 婚 là chữ có nghĩa là 'kết hôn', 'lập gia đình'. Chữ 婚 là hình ảnh kết hợp giữa chữ 女 (nữ - phụ nữ) và chữ 昏 (hôn - tối). Tuy nhiên, chữ 婚 xuất hiện trong giáp cốt văn lại có hình dáng hoàn toàn khác với hiện nay. Người ta nói rằng trong thời cổ đại, lễ cưới được cử hành vào đêm tối. Vì vậy, trong giáp cốt văn, chỉ vẽ hình ảnh người dựng tai lên. Đây là biểu hiện của việc lắng tai nghe tiếng bước chân của chú rể đang đến. Chữ này sau đó kết hợp với chữ 昏 có nghĩa là 'tối' để trở thành chữ 婚 có nghĩa là 'kết hôn', còn hình ảnh lắng tai nghe ngoài cửa kết hợp với chữ 門 (môn - cửa) để trở thành chữ 聞 (văn - nghe) có nghĩa là 'nghe'.",,,,,
未,,,"Chữ 未 là chữ có nghĩa là 'không phải' hay 'vẫn chưa làm được'. Nhìn vào chữ 未 trong giáp cốt văn, ta thấy có một nét gạch ở phía trên chữ 木 (mộc - cây). Điều này biểu hiện nghĩa 'sum sê' của lá cây. Vì vậy, nghĩa gốc của chữ 未 là '(lá cây) sum sê'. Tuy nhiên, hiện nay nghĩa gốc đã mất đi và nó được giả tá (mượn nghĩa) để dùng với nghĩa 'vẫn chưa' hay 'không có'. Chữ 未 có hình dáng rất giống với chữ 末 (mạt - cuối) có nghĩa là 'phần cuối'. Tuy nhiên, chữ 末 có nét gạch ở cuối dài hơn, còn chữ 未 thì ngắn hơn, nên phải phân biệt dựa vào sự khác biệt này.",,,,,
啦,,,"口 (Khẩu) biểu thị ý nghĩa là chữ tượng thanh, 拉 biểu thị âm đọc.",,,,,
将,,,"Chữ giả tá. Nghĩa gốc đặt thịt lên bàn. 丬 biến thể của 爿 hình ảnh chiếc bàn có chân. bộ tịch (夕) biểu thị hình ảnh miếng thịt; bộ thốn (寸) biểu thị hành động cầm, đặt.","【将来 (tương lai)】

Nghĩa gốc là đặt sau giả tả thành các nghĩa:

**〈副〉 sắp, sẽ**
* 将来: tương lai (sẽ đến)",,,,
芒,,,"Được tạo thành từ bộ thảo đầu (艹(=艸) ☞ cỏ, mầm cỏ) biểu thị ý nghĩa và chữ Vong (亡) biểu thị âm đọc (mang), có nghĩa là 「râu hạt (lông mọc trên vỏ ngoài hạt lúa, lúa mạch, v.v.)」.",,,,,
软,,,"Chữ 軟 có nghĩa là 'mềm' hay 'yếu ớt'. Chữ 軟 là hình ảnh kết hợp giữa chữ 車 (xa - xe) và chữ 欠 (khiếm - ngáp). Tuy nhiên, trong tiểu triện, chữ 輭 (nhuyễn - mềm) kết hợp chữ 車 và chữ 耎 (nhuyễn - mảnh khảnh) được dùng. Chữ 耎 là sự kết hợp giữa chữ 而 (nhi - mà/râu) và chữ 大 (đại - lớn), có nghĩa là râu người rất mềm yếu. Chữ 軟, kết hợp chữ 車 vào chữ 耎 có nghĩa yếu ớt như vậy, ban đầu được tạo ra với nghĩa chất lượng xe ngựa không đạt yêu cầu. Do đó, nó có nghĩa là '(chất lượng xe ngựa) kém' hay '(xe ngựa) yếu', nhưng hiện nay chỉ còn nghĩa là 'mềm' hay 'yếu ớt'. Chữ 輭 sau này được giản lược nét viết, và trong khải thư chữ 軟 đã thay thế nghĩa đó.",,,,,
助,,,"Chữ 助 có nghĩa là 'giúp đỡ' hay 'nhờ sức'. Chữ 助 là hình ảnh kết hợp giữa chữ 且 (thả - lại/mồ) và chữ 力 (lực - sức mạnh). Chữ 且 vẽ bia đá. Cổ đại, người ta khắc chữ lên bia đá để truyền bá tên tuổi, hành trạng hoặc công lao của người đã khuất. Đặc biệt, bia đá ghi công lao to lớn thường rất lớn. Việc dựng bia đá làm từ đá lớn đẽo gọt hẳn rất khó khăn nếu chỉ có một người. Do đó, chữ 助 có nghĩa là 'giúp đỡ' hay 'nhờ sức' từ ý nghĩa nhiều người cùng hợp sức để dựng bia đá.",,,,,
主,,,"Chữ 主 có nghĩa là 'chủ nhân' hay 'chủ thể'. Chữ 主 là hình ảnh kết hợp giữa chữ 王 (vương - vua) và dấu chấm (丶). Chữ Chủ ban đầu vẽ cây nến. Nhìn vào chữ Chủ trong tiểu triện, có bấc nến được vẽ phía trên cây nến dài. Do đó, nghĩa gốc của chữ 主 là 'bấc nến'. Tuy nhiên, sau này chữ Chủ được giả tá (mượn nghĩa) thành nghĩa 'chủ nhân', và hiện nay chữ 炷 (chú - bấc nến) được thêm chữ 火 (hỏa - lửa) vào để thay thế nghĩa đó. Có vẻ ý nghĩa người làm chủ gia đình phải thắp sáng căn nhà đã được phản ánh trong chữ Chủ.",,,,,
讨,,,"Chữ 討 có nghĩa là 'đánh' hay 'tấn công'. Chữ 討 là hình ảnh kết hợp giữa chữ 言 (ngôn - lời nói) và chữ 寸 (thốn - tấc). Chữ 寸 là chữ chỉ sự (指事文字) có nghĩa là chiều dài từ đầu ngón tay đến cổ tay, có nghĩa là 'tấc' hay 'phép tắc'. Chữ Thảo, kết hợp chữ 言 vào chữ 寸 có nghĩa 'phép tắc' như vậy, được giải thích là nghĩa 'lời nói có phép tắc'. Chữ 討 ban đầu là chữ được tạo ra để biểu hiện nghĩa tìm kiếm sự thật của sự vật, như 'thăm dò' hay 'nghiên cứu'. Tuy nhiên, sau này nghĩa trừng phạt người không tuân thủ phép tắc được mở rộng, nên phái sinh nghĩa 'đánh' hay 'tấn công'.",,,,,
向,,,"Chữ 向 có nghĩa là 'hướng về' hay 'tiến về phía'. Nhìn vào giáp cốt văn của chữ 向, chỉ vẽ nhà và cửa sổ. Đây là biểu hiện của 'cửa sổ'. Do đó, nghĩa gốc của chữ 向 là 'cửa sổ'. Cửa sổ thường nằm ở hướng nào? Có lẽ hầu hết là hướng bắc. Bởi vì sau khi hướng nhà ở cố định là nam, cổng chính được xây ở phía nam và cửa sổ được chuyển sang hướng bắc. Do đó, nghĩa gốc của chữ 向 là 'cửa sổ hướng về phía bắc'. Tuy nhiên, sau này nghĩa 'phía bắc' biến mất và chỉ còn nghĩa đơn thuần là phương hướng, nên có nghĩa là 'hướng về'.",,,,,
苦,,,"Chữ 苦 có nghĩa là 'đắng' hay 'khổ'. Chữ 苦 là hình ảnh kết hợp giữa chữ 艹 (thảo - cỏ) và chữ 古 (cổ - xưa). Chữ 古 có nghĩa là 'ngày xưa', nhưng ở đây chỉ đóng vai trò phát âm. Chữ Khổ có nghĩa là cỏ rất đắng, chữ 艹 đóng vai trò ý nghĩa. Do đó, nghĩa 'khổ' cũng được phái sinh.",,,,,
捎,,,Được tạo thành từ bộ tài gảy (扌(=手) ☞ tay) biểu thị ý nghĩa và chữ Tiêu (肖 → Sao) biểu thị âm đọc (cho → so) hợp lại.,,,,,
送,,,"Chữ 送 có nghĩa là 'gửi' hay 'chuyển giao', 'đưa tiễn'. Chữ 送 là hình ảnh kết hợp giữa chữ 辶 (sước - đi chậm) và chữ 灷 (tiễn - tàn lửa). Chữ 灷 vẽ hình ảnh cầm tàn lửa bằng hai tay, có nghĩa là 'tàn lửa'. Chữ Tống, kết hợp chữ 辶 vẽ con đường vào chữ 灷 vẽ tàn lửa như vậy, biểu hiện hình ảnh cầm tàn lửa lên đường. Điều này có nghĩa là thắp sáng đường đưa tiễn khách ra về.",,,,,
烦,fán,火、页,"Chữ 煩 có nghĩa là 'phiền phức' hay 'rắc rối', 'khó chịu'. Chữ 煩 là hình ảnh kết hợp giữa chữ 頁 (hiệt - đầu) và chữ 火 (hỏa - lửa). Chữ 頁 vẽ đầu người được phóng to. Chữ Phiền, được thêm chữ 火 vào chữ 頁 nhấn mạnh cái đầu như vậy, biểu hiện hình ảnh đầu bị nóng lên.",【麻烦、烦恼】,,,,
辛,,,"Chữ 辛 có nghĩa là 'cay' hay 'khổ cực', 'đau khổ'. Chữ 辛 hiện nay có nghĩa là 'cay', nhưng cổ đại được dùng với nghĩa 'khổ cực' hay 'đau khổ'. Bởi vì chữ 辛 vẽ dụng cụ xăm hình lên cơ thể nô lệ. Cổ đại, nô lệ bị bắt được xăm dấu hiệu lên trán hoặc cơ thể. Chữ 辛 vẽ dụng cụ xăm hình đó. Bị bắt làm tù binh và trở thành nô lệ có nghĩa là phải trải qua cuộc sống khắc nghiệt. Do đó, chữ 辛 vừa tượng trưng cho 'nô lệ', vừa mang nghĩa 'khổ cực'. Nghĩa 'cay' trong chữ 辛 cũng là vì cuộc sống của họ thật sự khổ cực đến rơi nước mắt. Tuy nhiên, khi chữ 辛 kết hợp với các chữ khác, nó chỉ đơn thuần truyền đạt ý nghĩa liên quan đến 'nô lệ'.",,,,,
麻,,,"Chữ 麻 có nghĩa là 'gai' là nguyên liệu làm quần áo bằng sợi gai dầu. Chữ 麻 vẽ quá trình làm sợi từ vỏ cây gai. Để lấy sợi từ cây gai, sau khi thu hoạch cây gai, phải hấp trong nước, sau đó cây gai đã hấp được phơi ở nơi thoáng mát có gió thổi. Chữ 麻 vẽ hình ảnh cây gai đã luộc được phơi ở nơi thoáng mát. Do đó, chữ 广 (nghiễm - nhà) được dùng trong chữ 麻 chỉ đơn thuần biểu hiện nơi có bóng râm mà không liên quan đến nghĩa. Lá và hoa của cây gai có chất gây tê tạm thời. Do đó, từ xưa cây gai được dùng làm một loại thuốc gây tê, và hiện nay vẫn đang được nghiên cứu làm kháng sinh hoặc thuốc giảm đau. Vì những lý do này, chữ 麻 không chỉ có nghĩa là 'sợi gai dầu' mà còn mang các nghĩa 'tê liệt' hay 'gây tê'.",,,,,
趟,,,Được tạo thành từ bộ tẩu (走 ☞ chạy trốn) biểu thị ý nghĩa và chữ Thượng (尙 → Trướng/Sưởng) biểu thị âm đọc (sang → jaeng) hợp lại.,,,,,
相,,,"Chữ 相 có nghĩa là 'lẫn nhau' hay 'hình dáng', 'che đậy'. Chữ 相 là hình ảnh kết hợp giữa chữ 木 (mộc - gỗ) và chữ 目 (mục - mắt). Chữ Tương được vẽ giống như đang nhìn vào cây. Do đó, nghĩa gốc của chữ 相 là 'nhìn kỹ' hay 'quan sát'. Chữ Tương có nghĩa là 'nhìn kỹ' từ ý nghĩa nhìn kỹ xem có phải là gỗ mình cần không, nhưng sau này lấy ý tưởng từ mối quan hệ đối diện giữa cây và mắt, nó có nghĩa là 'lẫn nhau'.",,,,,
土,tǔ,,"Chữ 土 có nghĩa là 'đất' hay 'thổ nhưỡng', 'đất', 'địa điểm'. Nhìn vào giáp cốt văn của chữ 土, hình ảnh vật tròn nhô lên trên mặt phẳng được vẽ, đây là biểu hiện của đất. Để biểu hiện đất, người ta vẽ hình ảnh cục đất tụ lại trên mặt đất. Chữ Thổ vẽ đất, nên khi được dùng làm bộ thủ, nó truyền đạt ý nghĩa liên quan đến đất hoặc 'địa điểm', 'đất liền'. Tuy nhiên, ngay cả khi chữ 土 được dùng, đôi khi nó chỉ đóng vai trò hình dạng, nên cần chú ý khi giải thích.",,块、地、坏、场,,,
注,,,"Chữ 注 có nghĩa là 'đổ' hay '(tưới) nước'. Chữ 注 là hình ảnh kết hợp giữa chữ 水 (thủy - nước) và chữ 主 (chủ - chủ nhân). Chữ 主 có nghĩa là 'chủ nhân', nhưng ở đây chỉ đóng vai trò phát âm. Việc đổ vật gì đó vào để lấp đầy gọi là 'chú nhập (注入)'. Chữ Chú là chữ có nghĩa là dốc hết sức để đưa vật gì đó vào. Theo từ điển, chữ 注 có nghĩa là 'chú nước', nghĩa 'tưới nước' ở đây là nghĩa 'lấp đầy' hay 'đưa vào'.",,,,,
览,,见,"Chữ 覽 có nghĩa là 'xem' hay 'xem xét'. Chữ 覽 là hình ảnh kết hợp giữa chữ 監 (giám - nhìn) và chữ 見 (kiến - thấy). Chữ 監 vẽ hình ảnh nhìn vào bản thân phản chiếu trong chậu rửa mặt, có nghĩa là 'nhìn'. Chữ Lãm, được thêm chữ 見 có nghĩa 'nhìn' vào chữ 監 có nghĩa 'nhìn' như vậy, thì muốn nhìn kỹ đến mức nào đây? Chữ 覽 là chữ được tạo ra để biểu hiện nghĩa 'xem xét', 'quan sát', giống như từ 'quan lãm (觀覽)'.",,,,,
展,,,"Chữ 展 có nghĩa là 'trải ra' hay 'kéo dài'. Chữ 展 được chỉ định làm bộ thủ là 尸 (thi - xác chết), nhưng không liên quan gì đến 'xác chết'. Bởi vì, trong giáp cốt văn chỉ vẽ đơn thuần 4 chữ 工 (công - thợ). Đây là chữ 㠭 (triển - trải) hiện nay không được dùng. Đây là vẽ hình ảnh đồ gốm đã nung được xếp dài ra. Do đó, trong giáp cốt văn chữ 㠭 được dùng với nghĩa là 'trải ra' hay 'kiểm tra'. Tuy nhiên, trong tiểu triện, chữ 衣 (y - áo) và chữ 尸 được thêm vào, biểu hiện nghĩa 'trải (quần áo của người) ra'. Chữ Triển hiện nay được tạo ra bằng cách kết hợp những chữ này, và nghĩa cũng đơn thuần là 'trải ra'.",,,,,
约,,,"Chữ 約 có nghĩa là 'buộc' hay 'hứa hẹn', 'kết giao'. Chữ 約 là hình ảnh kết hợp giữa chữ 糸 (mịch - sợi tơ mảnh) và chữ 勺 (chước - cái vá). Chữ 勺 vẽ cái vá dùng để múc rượu hoặc nước, nhưng ở đây chỉ đóng vai trò phát âm 'chước→ước'. Chữ Ước là chữ biểu hiện nghĩa 'buộc' bằng cách ứng dụng chữ 糸 vẽ hình ảnh cuộn chỉ được buộc lại. Lời hứa giữa con người cũng nên được giữ vững như sợi chỉ. Do đó, ngoài nghĩa 'buộc', chữ 約 còn phái sinh nghĩa 'hứa hẹn' hay 'kết giao'.",,,,,
使,,,"Chữ 使 có nghĩa là 'sai khiến' hay 'sai phái', 'dùng'. Thời kỳ xuất hiện giáp cốt văn, các chữ 使 (sử - sai khiến), 史 (sử - lịch sử), 事 (sự - việc), 吏 (lại - quan lại) đều là cùng một chữ. Chữ 使 ban đầu có nghĩa là 'sử quan', một quan lại chính phủ. Sử quan có vai trò chủ trì tế lễ, nên trong tay cầm dụng cụ ma thuật để tế lễ và bói toán. Giáp cốt văn chính là vẽ hình ảnh đó. Sau này khi các chữ được phân hóa, chữ 使 có chữ 人 được dùng với nghĩa là 'người sai khiến công việc'. Theo định nghĩa trong [Thuyết Văn Giải Tự] của Hứa Thận (許愼), chữ 史 phân hóa thành 'người ghi chép việc', chữ 吏 phân hóa thành 'người cai trị dân', chữ 事 phân hóa thành 'chức vụ'. Hãy xem hình ảnh dưới đây để hiểu chữ cổ của các chữ 使, 史, 事, 吏 đã phân hóa như thế nào.",,,,,
傅,,,Chữ hình thanh gồm bộ nhân đứng 亻 chỉ người và 尃 (fū) chỉ âm đọc.,"【师傅】

**Giúp đỡ, phò tá**
* 郑伯傅王"" (Trịnh Bá giúp vua)

**Dạy dỗ, hướng dẫn**
* 使齐人傅诸？ (Để người Tề dạy nó chăng?)",,,,
楚,,,"Hình dáng cổ xưa biểu hiện hình ảnh dùng rìu chặt cây nhỏ. Chữ 楚 (sở) được tạo thành từ Lâm (林) có nghĩa nhiều cây và Túc (疋), đồng thời biểu thị âm đọc (pil) và có nghĩa nhiều (≒叢), có nghĩa là những khúc gỗ nhỏ được chặt và gom lại.",,,,,
声,,,"Chữ 聲 có nghĩa là 'âm thanh' hay 'bài hát'. Chữ 聲 là hình ảnh kết hợp giữa chữ 声 (thanh - âm thanh/khánh), chữ 殳 (thù - gậy), chữ 耳 (nhĩ - tai). Chữ 声 ở đây vẽ 'thạch khánh (石磬)'. Thạch khánh là một loại nhạc cụ cung đình cổ đại, là cái khánh làm bằng đá. Khi gõ vào phát ra âm thanh trong trẻo, nên trước đây được dùng làm một loại nhạc cụ. Chữ Thanh, kết hợp chữ 殳 vẽ hình ảnh cầm gậy vào chữ 声 vẽ thạch khánh như vậy, biểu hiện hình ảnh gõ thạch khánh. Chữ Thanh, thêm chữ 耳 vào, biểu hiện hình ảnh nghe tiếng nhạc cụ, có nghĩa là 'âm thanh' hay 'bài hát'. Lưu ý, trong giáp cốt văn còn có chữ 口 (khẩu - miệng), nhưng sau này được giản lược.",,,,,
清,,,"Chữ 淸 có nghĩa là 'trong' hay 'sạch'. Chữ 淸 là hình ảnh kết hợp giữa chữ 水 (thủy - nước) và chữ 靑 (thanh - xanh biếc). Chữ 靑 vẽ cây cỏ xanh tươi mọc bên giếng, có nghĩa là 'xanh biếc'. Chữ Thanh, kết hợp chữ 水 vào chữ 靑 có nghĩa 'xanh biếc' như vậy, biểu hiện nghĩa nước trong đến mức có màu xanh.",,,,,
湾,,,"Âm đọc gốc của 「만」 là 「loan」. Được tạo thành từ bộ tam thủy (氵(=水, 氺) ☞ nước) biểu thị ý nghĩa và chữ Loan (彎), biểu thị âm đọc (man) hợp lại. Loan (彎) có nghĩa 「cái cung uốn cong」.",,,,,
赵,,,"Được tạo thành từ bộ tẩu (走 ☞ chạy trốn) biểu thị ý nghĩa và chữ Tiêu (肖) biểu thị âm đọc (cho), có nghĩa 「chạy trốn nhanh chóng」.",,,,,
票,,西,"票 là chữ có nghĩa là 'phiếu' hoặc 'chứng phiếu'. 票 không liên quan gì đến 示. Vì trong Tiểu triện của 票, thay vì 示, lại có 火. Tiểu triện của 票 vẽ hình bàn tay bắt những đốm lửa bay lên từ bên trên 囟 (tức là đốm lửa). Điều này diễn tả sự nhẹ nhàng, như tro bay lên. Vì vậy, nghĩa gốc của 票 là 'nhẹ'. Tuy nhiên, sau này nó mang nghĩa 'tiền giấy', nhẹ hơn đồng tiền kim loại, và nghĩa gốc ít được dùng. Tiền giấy thời cổ nghĩa là 'giấy chứng nhận' có chữ ký. Vì vậy, 票 đã mở rộng nghĩa từ 'nhẹ' sang 'tiền giấy' hoặc 'chứng từ'. Khi kết hợp với chữ khác, 票 mang nghĩa 'nhẹ'.",,,,,
术,shù,木,"術 là chữ có nghĩa là 'mưu kế', 'tài năng' hoặc 'phương tiện'. 術 được tạo thành từ 行 và 朮. Tuy nhiên, dạng chữ trong Giáp cốt văn của 術 lại có các nét vẽ quanh 又 (nghĩa là 'lại' hoặc 'tay'), diễn tả hình ảnh bàn tay di chuyển nhanh chóng. Điều này thể hiện nghĩa của 朮 là 'mưu kế' hoặc 'tài năng'. Đến Tiểu triện, để chỉ nơi thực hiện tài năng, người ta thêm Hành (行) vào, tạo nên chữ 術 như ngày nay.",【手术】,,,,
丰,,,Đây là chữ phỏng theo hình dáng cây cỏ phát triển sum suê.,,,,,
富,fù,宀、畐,"富 là chữ có nghĩa là 'giàu có' hoặc 'thịnh vượng'. 富 được tạo thành từ 宀 (miên - mái nhà) và 畐 (bốc - đầy). 畐 vẽ hình chiếc vò hoặc vật chứa đầy rượu hoặc đồ vật, mang nghĩa 'đầy'. Kết hợp 宀 và 畐, chữ 富 diễn tả ý ngôi nhà chứa đầy tài sản.",【富翁】,,,,
农,,,"農 là chữ có nghĩa là 'nông sự' (việc nông), 'nông phu' (người làm nông). 農 được tạo thành từ 辰 và 曲. 辰 vẽ một loại nông cụ. Trong Giáp cốt văn, xuất hiện nhiều dạng chữ 農 khác nhau. Một số có 林 + 辰, một số khác có thêm hình bàn tay. Trong Kim văn, thêm 田 (điền - ruộng) vào, thể hiện hình ảnh dùng nông cụ để cày ruộng. 田 trong Kim văn được thể hiện bằng 曲 trong Khải thư, tạo nên chữ 農 ngày nay.",,,,,
灸,,,Được tạo thành bằng cách kết hợp bộ Hỏa (火(=灬) ☞ lửa) biểu thị nghĩa và chữ 久 (cửu) biểu thị âm.,,,,,
甜,,,Được tạo thành từ việc kết hợp chữ 甘 (cam) và chữ 舌 (thiệt).,,,,,
摸,,,"Được tạo thành từ bộ Tài (扌(=手) ☞ tay) biểu thị nghĩa và chữ 莫 (mạc/mô) biểu thị âm. Có nghĩa là dùng tay để 'sờ soạng', 'mò mẫm'. Cũng thông dụng với 摹 (mô), nhưng hiện nay 摹 (mô) hầu như không được sử dụng, và 摸 (mô) kiêm luôn nghĩa đó.",,,,,
脉,,,"脈 là chữ có nghĩa là 'thân cây', 'mạch máu', 'mạch đập'. 脈 được tạo thành từ ⺼ (nhục nguyệt - chỉ bộ phận cơ thể) và 派 (phái - nhánh nước). 派 vẽ hình dòng nước phân thành nhiều nhánh và uốn lượn chảy. 'Mạch máu' là đường ống dẫn máu từ tim đến các cơ quan khác của cơ thể. Do đó, 脈 diễn tả hình ảnh mạch máu phân thành nhiều nhánh. Chữ 脈 được tạo ra để chỉ mạch máu của con người, nhưng cũng được dùng để chỉ thân cây kết nối hoặc quấn quýt với nhau. Vì vậy, 'văn mạch' (문맥) có nghĩa là các thành phần của bài viết kết nối với nhau, còn 'mạch lạc' (맥락) có nghĩa là các sự vật tiếp nối nhau và có liên quan.",,,,,
按,,,"Được tạo thành từ bộ Tài (扌(=手) ☞ tay) biểu thị nghĩa và chữ 安 (an) vừa biểu thị âm vừa có nghĩa là 'ấn' (≒壓). Có nghĩa là dùng tay để 'ấn', 'bóp'.",,,,,
鸭,,,Đây là chữ được tạo thành từ bộ Điểu (鳥 ☞ chim) biểu thị nghĩa và chữ 甲 (giáp) biểu thị âm.,,,,,
治,,,"治 là chữ có nghĩa là 'cai trị' hoặc 'thiết lập trật tự'. 治 được tạo thành từ 水 (thủy - nước) và 台 (thai - đài). 台 vẽ hình ảnh đưa thìa vào miệng. Vì vậy, khi 台 kết hợp với chữ khác, nó mang nghĩa 'cho ăn'. Trong xã hội nông nghiệp, việc quản lý tốt nước từ sông ngòi là rất quan trọng. Vì vậy, 治 mang nghĩa là quản lý nước để nuôi sống dân chúng, từ đó có nghĩa là 'cai trị'.",,,,,
餐,,,"Được tạo thành bằng cách kết hợp bộ Thực (食(=飠) ☞ ăn, thức ăn) biểu thị nghĩa và chữ 𣦼 (tàn → xan) biểu thị âm.",,,,,
扎,,,Chữ hội ý. Bộ thủ tay (扌) chỉ bàn tay kết hợp bột ất (乚 ) chỉ cây non. Nghĩa gốc chỉ hành động nhổ cây non.,"【扎针】

Nghĩa gốc nhổ. Sau mở rộng nghĩa thành:
* Đâm, chọc: 扎针 (châm cứu).",,,,
细,,,"Chữ 細 có nghĩa là ""mảnh"", ""nhỏ"", hoặc ""hiếm"". Chữ 細 được cấu tạo từ hai bộ: bộ 糸 (sợi tơ, chỉ mảnh) và bộ 田 (ruộng). Tuy nhiên, nếu nhìn vào chữ viết thời Tiểu triện (소전), ta thấy không phải bộ 田 mà là bộ 囟 (thóp trên đầu) được sử dụng. Chữ 囟 mô tả lỗ nhỏ (huyệt) trên thóp đầu của trẻ sơ sinh. Người xưa tin rằng tuy không thể nhìn thấy bằng mắt thường, nhưng trên đầu con người có dòng khí rất vi tế (rất nhỏ) lưu chuyển ra ngoài. Việc này cũng được phản ánh trong cách tạo nên chữ 腦 (não), có sử dụng bộ 囟, cho thấy nhận thức như vậy của người xưa. Chữ 細, với bộ 囟 gợi liên tưởng đến dòng khí nhỏ bé ấy, kết hợp với bộ 糸 (chỉ mảnh), ban đầu mang nghĩa là ""sợi chỉ mảnh"". Về sau, nghĩa của chữ được mở rộng để chỉ những gì nhỏ bé hoặc hiếm hoi.",,,,,
曾,céng,,Nghĩa gốc đặt thức ăn lên tấm lót tre trong nồi để hấp chín. 曰 chỉ trong nồi có nước; phần trên chỉ lồng hấp bằng tre có các lỗ nhỏ cho hơi nước bay lên. ,"【曾经】

Ban đầu chỉ dụng cụ hấp thức ăn thời cổ đại sau chuyển nghĩa:
* Đã từng (céng): 曾经",,,,
第,,,"第 là chữ có nghĩa là 'thứ tự', 'trình tự'. 第 được tạo thành từ 竹 (trúc - tre) và 弟 (đệ - em trai). 弟 vẽ hình ảnh dây thừng quấn quanh cây theo thứ tự. Vì vậy, trước đây 弟 có nghĩa là 'thứ tự' hoặc 'trình tự'. Nhưng sau này nó được mượn nghĩa (가차) để chỉ 'em trai', và 第, thêm 竹 vào, thay thế nghĩa ban đầu.",,,,,
薯,,,"Được tạo thành bằng cách kết hợp bộ Thảo (艹(=艸) ☞ cỏ, mầm cỏ) biểu thị nghĩa và chữ 署 (thự) biểu thị âm, có nghĩa là 「khoai lang」.",,,,,
烤,,,,,,,,
葫,,,"Được tạo thành bằng cách kết hợp bộ Thảo (艹(=艸) ☞ cỏ, mầm cỏ) biểu thị nghĩa và chữ 胡 (hồ) biểu thị âm, có nghĩa là 「tỏi」.",,,,,
芦,,,"Được tạo thành bằng cách kết hợp bộ Thảo (艹(=艸) ☞ cỏ, mầm cỏ) biểu thị nghĩa và chữ 戶 (hộ) biểu thị âm, có nghĩa là 「Địa hoàng」.",,,,,
糖,,,"糖 là chữ có nghĩa là 'kẹo' hoặc 'kẹo mạch nha (엿)'. 糖 được tạo thành từ 米 (mễ - gạo) và 唐 (đường). 唐 vẽ hình ảnh dụng cụ đập lúa và miệng. Ngày nay đường được chiết xuất từ mía, nhưng trước đây '엿' được làm bằng cách nấu gạo, gạo nếp, mạch nha cô đặc, chứa thành phần tạo vị ngọt từ gạo (米). Chữ 唐 ngoài âm còn truyền tải ý nghĩa chế biến ngũ cốc.",,,,,
耳,,,"耳 là chữ có nghĩa là 'tai' hoặc 'nghe'. 耳 vẽ hình vành tai và dái tai của tai phải. Vì 耳 vẽ tai người nên nó truyền tải nghĩa liên quan đến chức năng của tai là 'nghe'. Tuy nhiên, trong một số chữ, nó cũng chỉ đơn thuần là 'quai', 'tay cầm' của vật thể như vò, nồi. Lưu ý, trong cổ văn Trung Quốc, chữ 耳 đôi khi được mượn nghĩa (가차) để dùng như một trợ từ, có nghĩa là '~chỉ', '~mà thôi'.",,职、取、联、聪,,,
琴,,,"琴 là chữ có nghĩa là 'đàn cầm (거문고)'. 琴 được tạo thành từ hai chữ 玉 (ngọc) và 今 (kim). 今 (kim) mang nghĩa 'bây giờ' nhưng ở đây chỉ đóng vai trò biểu thị âm. 琴 là chữ chỉ loại nhạc cụ dây của Trung Quốc tương tự như đàn Geomungo của Hàn Quốc. Tiểu triện của 琴 vẽ hình ảnh dây đàn được căng giữa hai chữ 玉, cùng thể hiện cả 'phím đàn' và 'dây đàn'. Hiện nay, dây đàn đã được thay thế bằng chữ 今. Do đó, 玉 trong chữ 琴 không liên quan gì đến 'ngọc'.",,,,,
钢,,,"鋼 là chữ có nghĩa là 'thép', 'cứng', 'vững chắc'. 鋼 được tạo thành từ 金 (kim - kim loại) và 岡 (cương - sườn núi). 岡 vẽ hình ảnh lưới giăng trên núi, có nghĩa là 'sườn núi'. Ban đầu, trong Tiểu triện, chữ 剛 (cương) được tạo thành từ 岡 (thể hiện sự cứng cáp của núi) và 刀 (đao - dao), mang nghĩa 'thép' hoặc 'vững chắc'. Tuy nhiên, trong Khải thư, chữ 鋼 được tạo ra với 金 (kim loại) để chỉ 'thép', và 剛 được tách ra để chỉ nghĩa 'vững chắc'.",,,,,
